TIPO_ENTIDAD,COD_ENTIDAD,RAZON_SOCIAL,DIRECCION,CIUDAD,NUMEROIDENTIFICACION,NOMBREPUBLICOCARGO,REPRESENTANTE_LEGAL,EMAILPRINCIPAL,URIPAGINAWEB
1,42,"SCOTIABANK COLPATRIA S.A. y podrá utilizar cualquiera de los siguientes nombres abreviados o siglas: BANCO COLPATRIA, SCOTIABANK, SCOTIABANK COLPATRIA, COLPATRIA SCOTIABANK, COLPATRIA MULTIBANCA, MULTIBANCA COLPATRIA, (en adel",Carrera 7 No. 24-89 Piso 10,BOGOTÁ D.C.,8600345941,Presidente,JABAR JAI SINGH III,notificbancolpatria@colpatria.com,www.scotiabankcolpatria.com (2020128285)
1,43,BANCO AGRARIO DE COLOMBIA S.A. y podrá usar el nombre BANCO AGRARIO DE COLOMBIA  o BANAGRARIO.,Carrera 8 No. 15-43,BOGOTÁ D.C.,8000378008,Presidente,HERNANDO FRANCISCO CHICA ZUCCARDI,attnclie@bancoagrario.gov.co,www.bancoagrario.gov.co
1,49,"BANCO COMERCIAL AV VILLAS S.A., que podrá girar bajo la denominación de Banco de Ahorro y Vivienda AV Villas, Banco AV Villas o AV Villas.",Carrera 13 No. 27-47,BOGOTÁ D.C.,8600358275,Presidente,GERARDO ALFREDO HERNÁNDEZ CORREA,NotificacionesJudiciales@bancoavvillas.,Pendiente
1,51,"BANCIEN S.A. y/o BAN100 PARAGRAFO TRANSITORIO: Además de la denominación de BANCIEN S.A. y/o BAN100 S.A., la Sociedad podrá utilizar indistintamente y para todos los efectos legales requeridos este nombre y/o su denominación anterior de BANCO CREDIFINANCIERA S.A., por el término de un (1) año contado a partir de la fecha de la protocolización de la respectiva reforma estatutaria mediante Escritura Pública.",Carrera 7 No.76-35 Piso 9,BOGOTÁ D.C.,9002009609,Presidente,HÉCTOR AUGUSTO CHAVES OLARTE,impuestos@credifinanciera.com.co,Pendiente
1,52,"BANCO DE LAS MICROFINANZAS BANCAMÍA S.A., pudiendo utilizar el nombre BANCAMÍA S.A.",Carrera 9 No. 66 -25,BOGOTÁ D.C.,9002150711,Presidente Ejecutivo,VIVIANA ARAQUE MENDOZA,servicioalcliente@bancamia.com.co,www.bancamia.com.co
1,53,BANCO W S.A.,Avenida 5 Norte No. 16 N 57 Piso 4,CALI,9003782122,Presidente,JOSÉ ALEJANDRO GUERRERO BECERRA,correspondenciabancow@bancow.com.co,www.bancow.com.co
1,54,BANCO COOMEVA S.A. pero en sus relaciones comerciales podrá identificarse como BANCO COOMEVA o utilizar la sigla BANCOOMEVA,Calle 13 No. 57-50 piso 2,CALI,9004061505,Presidente,MARCO ANTONIO RIZO CIFUENTES,bancoomeva@coomeva.com.co,Pendiente
1,55,"BANCO FINANDINA S.A. BIC, pero podrá identificarse simplemente con la sigla FINANDINA BIC o BANCO FINANDINA BIC",Kilometro 17 carretera central del Norte vía a Chia,CHIA,8600518946,Gerente General,ORLANDO FORERO GÓMEZ,notificacionesjudiciales@bancofinandina.,Pendiente
1,56,BANCO FALABELLA S.A.,"Avenida 19 No. 120-71, Piso 3",BOGOTÁ D.C.,9000479818,Gerente General,RODRIGO ANDRÉS SABUGAL ARMIJO,notificacionesembargos@bancofalabella.co,Pendiente
1,57,BANCO PICHINCHA S.A.,Av. Las Americas No. 42-81,BOGOTÁ D.C.,8902007567,Presidente Ejecutivo,GERMÁN ENRIQUE RODRÍGUEZ PERDOMO,notificacionesjudiciales@pichincha.com.c,www.bancopichincha.com.co
1,58,EL BANCO COOPERATIVO COOPCENTRAL cuya sigla es COOPCENTRAL,Avenida Calle 116 No. 23-06/28 Edificio Business Center 116,BOGOTÁ D.C.,8902030889,Presidente Ejecutivo,JORGE ANDRÉS LÓPEZ BAUTISTA,coopcentral@coopcentral.com.co,Pendiente
1,59,"BANCO SANTANDER DE NEGOCIOS COLOMBIA S.A. (en adelante El Banco), pudiendo identificar sus oficinas, productos o servicios con las siglas o nombres comerciales Banco Santander o Santander",Calle 93 A No. 13-24 Piso 4,BOGOTÁ D.C.,9006281103,Presidente Ejecutivo,MARTA ISABEL WOODCOCK  SALAS,notificaciones@santander.com.co,www.santander.com.co
128,5,"COINK S.A., Sociedad Especializada en Depósitos y Pagos Electrónicos.",Calle 70A No.13-43,BOGOTÁ D.C.,9011988788,Presidente,MARIO ALEJANDRO CASTRO ILLIDGE,notificacionesjudiciales@coink.com,Pendiente
1,60,BANCO MUNDO MUJER S.A. o MUNDO MUJER EL BANCO DE LA COMUNIDAD o MUNDO MUJER y en los presentes estatutos se hará referencia al mismo como el Banco,Carrera 11 No. 5 - 56 Barrio Valencia,POPAYAN,9007689338,Presidente,JOSÉ VICENTE VELASCO MELO,cumplimiento.normativo@bmm.com.co,Pendiente
1,62,"Mibanco -Banco de la Microempresa de Colombia S.A., y podrá utilizar la sigla Mibanco S.A.",Carrera 8 No. 15-51 Mezanine Edificio Ucros,BOGOTÁ D.C.,8600259715,Presidente,NANCY ISABEL TUEROS CHIA DE MIRANDA,notificaciones@mibanco.com.co,Pendiente
1,63,"BANCO SERFINANZA S.A., podrá girar tambien con la denominación social BANCO SERFINANZA , pudiendo identificar  sus establecimientos de comercio, productos y servicios, con el nombre comercial SERFINANZA",Calle 72 Carrera 54-63 y Carrera 54-63 Locales 5 y 6,BARRANQUILLA,8600431866,Presidente,GIAN PIERO CELIA MARTÍNEZ-APARICIO,hyunis@serfinansa.com.co,www.serfinansa.com.co
1,64,"BANCO J.P. MORGAN COLOMBIA S.A., (la Sociedad)","Carrera 11 No. 84 A-09, Piso 7",BOGOTÁ D.C.,9001143468,Presidente,ÁNGELA MARÍA HURTADO CASTRO,Pendiente,Pendiente
1,65,"LULO BANK S.A., la cual podrá usar o no las expresiones sociedad anónima o la sigla S.A. (en adelante el BANCO).",Carrera 7 No. 71-52 Piso 19 Torre B.,BOGOTÁ D.C.,9013834749,Presidente,SANTIAGO COVELLI OLAYA,contacto@lulobank.com,Pendiente
1,67,"BANCO UNIÓN S.A. (en adelante el Banco o la Sociedad) igualmente, podrá utilizar para efectos publicitarios indistintamente el nombre de Banco Union.",Calle 4 No. 27-52 Barrio San Fernando,CALI,8600067979,Presidente,JUAN PABLO CRUZ LÓPEZ,notificacionesjudiciales@girosyfinanzas,Pendiente
1,68,BANCO CONTACTAR S.A. y podrá utilizar la sigla BANCO CONTACTAR,Carrera 6 No. 22 -90,PASTO,9017025833,Presidente,PAULO EMILIO RIVAS ORTÍZ,juridicanotificaciones@bancocontactar.co,Pendiente
2,11,"CORPORACIÓN FINANCIERA COLOMBIANA S.A., pudiendo utilizar las siglas CORFICOLOMBIANA S.A., CORFICOL S.A. o CORFI S.A.","Carrera 13 No. 26 - 45 Pisos 3, 7 y 8",BOGOTÁ D.C.,8903006536,Presidente,ANA MILENA LÓPEZ ROCHA,servicioalclientecorficolombiana@corfico,www.corficolombiana.com
2,37,"BANCA DE INVERSIÓN BANCOLOMBIA S.A. CORPORACIÓN FINANCIERA, que podrá girar bajo la sigla BANCA DE INVERSIÓN BANCOLOMBIA CORPORACIÓN FINANCIERA",Carrera 48 No. 26-85 Torre Sur Piso 10 Sector E,MEDELLIN,8002354265,Presidente,LUIS IGNACIO GOMEZ MONCADA,gciari@bancolombia.com.co,www.bancolombia.com.co
2,48,"CORPORACIÓN FINANCIERA GNB SUDAMERIS S.A., la cual podrá usar la abreviación o sigla CORFI GNB SUDAMERIS",Carrera 7 No. 75-85 Piso 6,BOGOTÁ D.C.,9011209053,Gerente General,JAIME CORTÉS RIVERA,jecortes@gnbsudameris.com.co,Pendiente
2,49,CORPORACIÓN FINANCIERA DAVIVIENDA S.A.,Avenida El Dorado 68C - 61 Piso 9,BOGOTÁ D.C.,9013235654,Presidente,ELIZABETH CRISTINA URIBE PARDO,Pendiente,Pendiente
2,50,CREDICORP CAPITAL CORPORACION FINANCIERA S.A.,Calle 34 No. 6 - 65,BOGOTÁ D.C.,9016117971,Presidente Ejecutivo,ANDRES EDUARDO VENEGAS RAMIREZ,notificacionesjuridica@credicorpcapital.,Pendiente
507,58,QUANTFURY TRADING LIMITED,Pendiente,Pendiente,0,Pendiente,Pendiente Pendiente,Pendiente,Pendiente
111,12,ITAÚ (PANAMÁ) S.A. y podrá utilizar la sigla: ITAÚ,"Carrera 7 No. 99-53, Torre 2, Piso 6",BOGOTÁ D.C.,8300972240,"Representante para Colombia (Sin perjuicio de lo dispuesto en el artículo 164 del Código de Comercio, con información radicada con el número 2025009461-000 del día 23 de enero de 2025 que con documento del 12 de diciembre de 2024 renunció al cargo de Representante para Colombia y fue aceptada por la Junta Directiva Acta No.168 del 12 de diciembre de 2024.  Lo anterior de conformidad con los efectos establecidos por la Sentencia C-621 de julio 29 de 2003 de la Constitucional).",DIANA KATERYNE ARANGUREN PARDO,natalia.rojas@itau.com.pa,Pendiente
93,63,EL FONDO MUTUO DE INVERSION CAMARA DE COMERCIO DE MEDELLIN que en adelante se llamará FONCCOMED,CRA 46 NO. 52 - 82  PISO 1,MEDELLIN,8000981040,Gerente,FREDY OSWALDO HINCAPIÉ CIFUENTES,fredy.hincapie@camaramedellin.com.co,www.camaramedellin.com.co
20,204,BANCO DE CRÉDITO E INVERSIONES,Calle 93 No. 14-71 oficina 402,BOGOTÁ D.C.,9005878300,Representante Legal Principal para Colombia,ROBERTO SALVADOR OLIVIERI SANGIACOMO DIEGO,sribero@bcicolombia.com,Pendiente
32,2,"JFK COOPERATIVA FINANCIERA, establecimiento de crédito, en los términos establecidos por las normas legales vigentes. Para todos los efectos, se denominará JFK COOPERATIVA FINANCIERA.",Carrera 51 No. 43-24,MEDELLIN,8909074890,Gerente General,VICTOR HUGO ROMERO CORREA,gerencia@jfk.com.co,Pendiente
507,29,BG VALORES S.A.,Carrera 11 A No. 93 - 67 oficina 403,BOGOTÁ D.C.,9009857940,Representante para Colombia,CAMILO JERÓNIMO MAURICIO SOTO ARGÁEZ,Pendiente,Pendiente
111,8,BANCO DAVIVIENDA (PANAMÁ) S.A. y el cambio de su nombre comercial por el de DAVIVIENDA,Calle 28 No. 13 A - 15 Piso 26,BOGOTÁ D.C.,8605108960,Representante para Colombia,José Mauricio Gómez Sanchez,magomez@davivienda.com,Pendiente
1,66,"Banco BTG Pactual (Colombia) S.A. y podrá utilizar las siglas Banco BTG Pactual Colombia, Banco BTG Pactual (Colombia) y/o BTG Pactual (en adelante el Banco)",Carrera 43 A No. 1-50 Torre 2 Piso 10,MEDELLIN,9014915510,Gerente Principal (Presidente),JUAN RAFAEL PÉREZ VÉLEZ,sh-legal-colombia@btgpactual.com,Pendiente
85,68,GLOBAL SECURITIES S.A. COMISIONISTA DE BOLSA,CALLE 7 SUR NO 42 70 OF 215 TO 2,MEDELLIN,8001896042,"Presidente -(Sin perjuicio de lo dispuesto en el artículo 164 del Código de Comercio, con información radicada con el número 2025016311-000  del día 4 de febrero de 2025 que con documento del 4 de febrero de 2025 renunció al cargo de Presidente fue aceptada por la Junta Directiva Acta No. 459 del 4 de febrero de 2025.  Lo anterior de conformidad con los efectos establecidos por la Sentencia C-621 de julio 29 de 2003 de la Constitucional)",JUAN PABLO AMOROCHO GUTIÉRREZ,juridica@globalcdb.com,Pendiente
4,26,"COMPAÑÍA DE FINANCIAMIENTO TUYA S.A., que podrá girar bajo las siglas TUYA S.A. o TUYA o TU-YA S.A. o TU-YA o TÚ-YA S.A. o TÚ-YA",Calle 4 Sur No.43 A-109 Torre Tuya Tercer Piso,MEDELLIN,8600323303,Presidente,CARLOS IVAN VILLEGAS RODRIGUEZ,info@sufinanciamiento.com.co,www.tuya.com.co
4,31,GM FINANCIAL COLOMBIA S.A. COMPAÑÍA DE FINANCIAMIENTO,Calle 98 No. 22-64 Piso 9,BOGOTÁ D.C.,8600293968,Gerente General,SANTIAGO BORDA CLOPATOFSKY,contacto.cliente@gmacfs.com,www.chevroletfs.com.co
4,46,COLTEFINANCIERA S.A. COMPAÑÍA DE FINANCIAMIENTO,Calle 7 D No. 43 C- 161 Piso 6,MEDELLIN,8909270349,Presidente,GILDA ESTHER PABÓN  GUDIÑO,info@coltefinanciera.com.co,www.coltefinanciera.com.co
4,108,"IRIS CF - COMPAÑÍA DE FINANCIAMIENTO S.A. es la denominación de la sociedad, pudiendo utilizar la designación abreviada IRIS CF",Carrera 43A No. 7 - 50 A piso 17 Torre Financiera Dann,MEDELLIN,8110077294,Presidente,ALEJANDRO VERSWYVEL GUTIERREZ,cfc@dannregional.com.co,www.dannregional.com.co
4,117,"CREDIFAMILIA COMPAÑÍA DE FINANCIAMIENTO S.A., pudiendo utilizar la sigla CREDIFAMILIA",Carrera 7 No. 73-47 Piso 5 Edificio ION,BOGOTÁ D.C.,9004064721,Presidente,LUIS EDUARDO CUELLAR PULIDO,notificaciones.judiciales@credifamilia.c,facturacion.electonica@credifamilia.com
4,118,"Crezcamos S.A. Compañía de Financiamiento, pudiendo utilizar las siglas CREZCAMOS (en lo sucesivo, la Sociedad).",Carrera 23 No. 28 - 27,BUCARAMANGA,9005157597,Presidente,JAIDER MAURICIO OSORIO SÁNCHEZ,correspondencia@crezcamos.com,Pendiente
4,120,"LA HIPOTECARIA COMPAÑÍA DE FINANCIAMIENTO S.A., pudiendo utilizar la sigla LA HIPOTECARIA (en adelante la Sociedad).","Avenida Calle 26 No. 85 B- 09, Primer Piso",BOGOTÁ D.C.,9006289306,Gerente General,LUIS FERNANDO GUZMÁN ORTIZ,boduber@lahipotecaria.com,Pendiente
4,121,FINANCIERA JURISCOOP S.A. COMPAÑÍA DE FINANCIAMIENTO y en sus relaciones comerciales podrá identificarse como FINANCIERA JURISCOOP C.F.,Av. Calle 26 No. 69D 91 Torre Av. Eldorado Piso 10,BOGOTÁ D.C.,9006880663,Presidente,LUIS ALFONSO VERA OSORIO,Pendiente,Pendiente
4,122,RCI COLOMBIA S.A. COMPAÑÍA DE FINANCIAMIENTO (la Compañía),Carrera 48 No. 32 B Sur 139 Of.409,ENVIGADO,9009776291,Gerente General,JEAN-PHILIPPE JACQUES MAURICE VALLEE,juliana.uribe@rcibanque,Pendiente
111,28,BANCO ITAÚ INTERNATIONAL,Pendiente,Pendiente,0,Representante Legal Principal para Colombia,ALEJANDRO MIGUEL SANTOS,Pendiente,Pendiente
14,36,ANDINA COMPAÑÍA DE SEGUROS DE VIDA S.A. y también podrá ser denominada bajo la sigla ANDINA VIDA SEGUROS (la Sociedad),Calle 67 No. 7-35 Pios 9 Oficina 909 y 910,BOGOTÁ D.C.,9018803513,"Presidente (Sin perjuicio de lo dispuesto en el artículo 164 del Código de Comercio, con información radicada con el número 2025012608-000  del día 29 de enero de 2025, que con documento del 7 de enero de 2025 renunció al cargo de Presidente y fue aceptada por la Junta Directiva Acta No. 01 del 10 de enero de 2025.  Lo anterior de conformidad con los efectos establecidos por la Sentencia C-621 de julio 29 de 2003 de la Constitucional)",CHRISTIAN HENRY MORA APONTE,Servicioalcliente@andinavidaseguros.com.,notificacionesjudiciales@andinavidasegur
22,1,BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A. y podrá también usar la sigla BANCOLDEX,Calle 28 No. 13A-15 Pisos 38 al 42,BOGOTÁ D.C.,8001499236,Pendiente,Pendiente Pendiente,bancoldex@bancoldex.com,www.bancoldex.com
4,123,BANCAR TECNOLOGÍA CO S.A. COMPAÑÍA DE FINANCIAMIENTO,Carrera 7 No. 116-50 Oficina 4-134,BOGOTÁ D.C.,9015023015,Presidente,NATALIA RIOS LONDOÑO,legales.co@ua.la,Pendiente
13,44,CARDIF COLOMBIA SEGUROS GENERALES S.A.,Carrera 7 No. 75 - 66,BOGOTÁ D.C.,9002004353,Presidente,ÉDGAR HUMBERTO GÓMEZ QUIÑONEZ,presidencia@cardif.com.co,www.cardif.com.co
4,124,"RAPPIPAY COMPAÑÍA DE FINANCIAMIENTO S.A., (la Sociedad). La sociedad podrá utilizar la sigla RappiPay.",Calle 93 No. 19-75,BOGOTÁ D.C.,9015267416,Presidente,IGNACIO JOSÉ GIRALDO ARDILA,notifica.rappipaycf@rappi.com,Pendiente
4,126,"MERCADOPAGO S.A. Compañía de Financiamiento, pudiendo identificarse bajo las siglas MERCADOPAGO S.A. Compañía de Financiamiento (en adelante la Sociedad)",Carrera 17 No. 93-09 Piso 3,BOGOTÁ D.C.,9014497409,Presidente,IVÁN ANDRÉS MONCADA ARISTIZABAL,notijudicialcf@mercadopago.com,Pendiente
4,127,"Bold CF Compañía de Financiamiento S.A. (en adelante se denominará la Compañía) y podrá utilizar cualquiera de las siguientes siglas Bold C.F., Bold CF S.A., o Bold. CF",Calle 93 A No. 10-57 Oficina 604,BOGOTÁ D.C.,9015223493,Gerente General,JOSÉ FERNANDO VELEZ ARCINIEGAS,legalcf@boldcf.co,Pendiente
4,128,"NU. COLOMBIA COMPAÑÍA DE FINANCIAMIENTO S.A.,pudiendo identificarse bajo las siglas NU. o NU. Financiera (en adelante la Sociedad o NU. Financiera)",Carrera 11 No. 79 - 66 Piso 2,BOGOTÁ D.C.,9016581072,Gerente General,MARCELA TORRES CÓRDOBA,notificaciones-sfc@nucf.com.co,Pendiente
5,3,"BBVA ASSET MANAGEMENT S.A. Sociedad Fiduciaria, pudiendo utilizar indistintamente, para todos los efectos legales, el nombre de BBVA ASSET MANAGEMENT o BBVA Fiduciaria",Carrera 9 No. 72-21 Piso 9,BOGOTÁ D.C.,8600486085,Gerente General,JOSE MAURICIO WANDURRAGA BARON,fideicomisos@bbvafiduciaria.com,Pendiente
5,6,FIDUCIARIA CAJA SOCIAL S.A.,Calle 72 # 10-71 Piso 3,BOGOTÁ D.C.,8605014486,Presidente,LUZ MARIA ALVAREZ ECHAVARRIA,fidcol.sistemas@fundacion-social.com.co,www.colmena-fiduciaria.com.co
5,7,"SKANDIA SOCIEDAD FIDUCIARIA S.A., pudiendo en el desarrollo de su objeto social utilizar la sigla SKANDIA FIDUCIARIA S.A.",Avenida 19 No. 109 A 30,BOGOTÁ D.C.,8600589566,Presidente,CAROLINA NIETO MURILLO,notificacionestramites@skandia.com.co,Pendiente
5,16,ALIANZA FIDUCIARIA S.A.,Carrera 15 No. 82-99 Piso 3,BOGOTÁ D.C.,8605313153,Presidente,GUSTAVO ADOLFO MARTÍNEZ GARCÍA,FALIANZA@colomsat.net.co,www.alianza.com.co
5,21,FIDUCIARIA DE OCCIDENTE S.A.  - FIDUOCCIDENTE S.A.,Carrera 13 No. 27-47 Piso 9,BOGOTÁ D.C.,8001431573,Presidente,MARIO ANDRES ESTUPIÑAN ALVARADO,apinzon@fiduoccidente.com.co,www.fiduoccidente.com.co
5,22,FIDUCIARIA BOGOTÁ S.A.,Calle 67 No. 7-37 Tercer Piso Edificio Plaza 67,BOGOTÁ D.C.,8001423837,Presidente,Buenaventura  Osorio Martinez,Pendiente,Pendiente
5,23,"ITAÚ FIDUCIARIA COLOMBIA S.A. SOCIEDAD FIDUCIARIA, pudiendo utilizar el nombre comercial de Itaú Fiduciaria",Carrera 7 No. 99 - 53 Piso 14,BOGOTÁ D.C.,8001410211,Gerente General,GUILLERMO MARIO ACUÑA MONTES,cmorales@bancodecredito.com.co,www.grupohelm.com.co
5,24,CITITRUST COLOMBIA S.A. SOCIEDAD FIDUCIARIASigla: CITITRUST,Carrera  9 No. 99-02 Piso 1,BOGOTÁ D.C.,8001468148,Presidente,JUAN MANUEL ESCRUCERIA LUNA,ernesto.sarria@citicorp.com,www.citibank.com.co
5,25,"Fiduciaria Scotiabank Colpatria S.A.  y podrá utilizar cualquiera de los siguientes nombres abreviados o siglas: Scotiabank Fiduciaria Colpatria, Colpatria Scotiabank Fiduciaria, Fiduciaria Scotiabank Colpatria, Scotia Trust Colpatria, Scotiabank Colpatria Trust, Colpatria Scotiabank Trust.",Carrera 7 No.24-89 Torre Colpatria Piso 21,BOGOTÁ D.C.,8001444676,Gerente General,PAOLA SOFÍA HERNÁNDEZ ANAYA,castilc@colpatria.com,www.colpatria.com
5,33,ACCIÓN SOCIEDAD FIDUCIARIA S.A. ó simplemente ACCIÓN FIDUCIARIA para todos los efectos legales podrá utilizar la sigla ACCION FIDUCIARIA,Calle 85 No. 9 -65,BOGOTÁ D.C.,8001554136,Presidente encargada,CAROLYN MARY MONDRAGON ROJAS,notijudicial@accion.com.co,Pendiente
5,34,"SERVITRUST GNB SUDAMERIS S.A., sigla SERVITRUST GNB SUDAMERIS S.A., así mismo podrá  utilizar el nombre de SERVITRUST GNB SUDAMERIS seguido o no de las expresiones anónima o la sigla S.A.",Carrera 7 No. 75-85/87 Piso 10,BOGOTÁ D.C.,8001687635,Gerente General,VIVIAN JOHANA REYNA ABRIL,servitrust@gnbsudameris.com.co,www.fiduciaria.gnbsudameris.com.co
5,38,FIDUCIARIA CENTRAL S.A. y podrá utilizar la sigla FIDUCENTRAL S.A.,Avenida El Dorado No. 69A-51 Interior 3 Piso 3,BOGOTÁ D.C.,8001713721,Presidente,ANDRÉ KURT SCHOBER MAYA,fcentral@impsat.net.co,www.fiducentral.com
5,40,FIDUCIARIA COLOMBIANA DE COMERCIO EXTERIOR S.A y podrá también utilizar la sigla   FIDUCOLDEX,Calle 28 No. 13 A-24 Piso 6 y 7,BOGOTÁ D.C.,8001781488,Presidente,ANDRÉS RAUL GUZMÁN TORO,fiducoldex@fiducoldex.com.co,www.fiducoldex.com.co
5,42,FIDUCIARIA DAVIVIENDA S.A. pudiendo utilizar la sigla FIDUDAVIVIENDA S.A.,Avenida El dorado No. 68 B 85 Piso 2,BOGOTÁ D.C.,8001822815,Presidente,KAROL WENDY  AVENDAÑO DICELIS,fidudavivienda.notificacionesjudiciales@,www.davivenda.com
5,58,FIDUCIARIA SURA S.A.,"Carrera 43A No. 3 - 101, Piso 2",MEDELLIN,9003223398,Gerente General,ESTEBAN LÓPEZ VARGAS,notificacioneslegales.fiduciaria@surainv,Pendiente
5,59,CREDICORP CAPITAL FIDUCIARIA S.A.,Calle 34 No. 6 - 61 Piso 2,BOGOTÁ D.C.,9005204847,Presidente,ERNESTO VILLAMIZAR MALLARINO,notificacionesjuridica@credicorpcapital.,Pendiente
5,61,BTG PACTUAL SOCIEDAD FIDUCIARIA S.A. y podrá usar la sigla BTG PACTUAL FIDUCIARIA tambien podrá denominarse BTG PACTUAL SF.,"Carrera 43 A No. 1-50, San Fernando Plaza, Torre 2 Piso 12",MEDELLIN,9007951724,Representante Legal,CAMILO ARISTIZABAL VELEZ,SH-Legal-Colombia@btgpactual.com,Pendiente
5,62,FIDUCIARIA COOMEVA S.A. no obstante en sus relaciones comerciales podrá identificarse como FIDUCOOMEVA S.A. o utilizar la sigla FIDUCOOMEVA,"Carrera 100 No. 11-60 -Local 250 Holguines Trade Center, Piso 2o.",CALI,9009783039,Gerente General,LEONARDO FABIO RAMIREZ MORALES,fiducoomeva@coomeva.com.co,Pendiente
5,63,"RENTA 4 GLOBAL FIDUCIARIA S.A., pudiendo utilizar la sigla RENTA4G FIDUCIARIA, R4G FIDUCIARIA R4GLOBAL FIDUCIARIA o RENTA4 & GLOBAL FIDUCIARIA",Carrera 9 N° 78 - 15,BOGOTÁ D.C.,9009994456,Presidente,GILI SUAREZ JUAN,Pendiente,Pendiente
