Region,Subregion,Country,Indicator,Year,Source,value
Africa,Middle Africa,Angola,Homicide rate,2012,NSO,4.8
Americas,Caribbean,Anguilla,Homicide count,1990,WHO,0
Americas,Caribbean,Anguilla,Homicide count,1991,WHO,1
Americas,Caribbean,Anguilla,Homicide count,1992,WHO,0
Americas,Caribbean,Anguilla,Homicide count,1993,WHO,1
Americas,Caribbean,Anguilla,Homicide count,1994,WHO,0
Americas,Caribbean,Anguilla,Homicide count,1995,NSO,1
Americas,Caribbean,Anguilla,Homicide count,1996,NSO,0
Americas,Caribbean,Anguilla,Homicide count,1997,NSO,1
Americas,Caribbean,Anguilla,Homicide count,1998,NSO,0
Americas,Caribbean,Anguilla,Homicide count,1999,NSO,0
Americas,Caribbean,Anguilla,Homicide count,2000,NSO,1
Americas,Caribbean,Anguilla,Homicide count,2001,NSO,0
Americas,Caribbean,Anguilla,Homicide count,2002,NSO,2
Americas,Caribbean,Anguilla,Homicide count,2003,NSO,2
Americas,Caribbean,Anguilla,Homicide count,2004,NSO,1
Americas,Caribbean,Anguilla,Homicide count,2005,SDG,0
Americas,Caribbean,Anguilla,Homicide count,2006,SDG,5
Americas,Caribbean,Anguilla,Homicide count,2007,NSO,4
Americas,Caribbean,Anguilla,Homicide count,2008,NSO,1
Americas,Caribbean,Anguilla,Homicide count,2009,PAHO,1
Americas,Caribbean,Anguilla,Homicide count,2010,SDG,0
Americas,Caribbean,Anguilla,Homicide count,2011,SDG,0
Americas,Caribbean,Anguilla,Homicide count,2012,SDG,5
Americas,Caribbean,Anguilla,Homicide count,2013,SDG,1
Americas,Caribbean,Anguilla,Homicide count,2014,SDG,4
Americas,Caribbean,Anguilla,Homicide rate,1990,WHO,0
Americas,Caribbean,Anguilla,Homicide rate,1991,WHO,10.9
Americas,Caribbean,Anguilla,Homicide rate,1992,WHO,0
Americas,Caribbean,Anguilla,Homicide rate,1993,WHO,10.5
Americas,Caribbean,Anguilla,Homicide rate,1994,WHO,0
Americas,Caribbean,Anguilla,Homicide rate,1995,NSO,10.1
Americas,Caribbean,Anguilla,Homicide rate,1996,NSO,0
Americas,Caribbean,Anguilla,Homicide rate,1997,NSO,9.6
Americas,Caribbean,Anguilla,Homicide rate,1998,NSO,0
Americas,Caribbean,Anguilla,Homicide rate,1999,NSO,0
Americas,Caribbean,Anguilla,Homicide rate,2000,NSO,8.9
Americas,Caribbean,Anguilla,Homicide rate,2001,NSO,0
Americas,Caribbean,Anguilla,Homicide rate,2002,NSO,17
Americas,Caribbean,Anguilla,Homicide rate,2003,NSO,16.7
Americas,Caribbean,Anguilla,Homicide rate,2004,NSO,8.2
Americas,Caribbean,Anguilla,Homicide rate,2005,SDG,0
Americas,Caribbean,Anguilla,Homicide rate,2006,SDG,39.5
Americas,Caribbean,Anguilla,Homicide rate,2007,NSO,31.1
Americas,Caribbean,Anguilla,Homicide rate,2008,NSO,7.7
Americas,Caribbean,Anguilla,Homicide rate,2009,PAHO,7.5
Americas,Caribbean,Anguilla,Homicide rate,2010,SDG,0
Americas,Caribbean,Anguilla,Homicide rate,2011,SDG,0
Americas,Caribbean,Anguilla,Homicide rate,2012,SDG,36.2
Americas,Caribbean,Anguilla,Homicide rate,2013,SDG,7.2
Americas,Caribbean,Anguilla,Homicide rate,2014,SDG,28.3
Americas,Caribbean,Antigua and Barbuda,Homicide count,1990,MD,1
Americas,Caribbean,Antigua and Barbuda,Homicide count,1991,MD,3
Americas,Caribbean,Antigua and Barbuda,Homicide count,1992,MD,2
Americas,Caribbean,Antigua and Barbuda,Homicide count,1993,MD,4
Americas,Caribbean,Antigua and Barbuda,Homicide count,1994,MD,5
Americas,Caribbean,Antigua and Barbuda,Homicide count,1995,MD,7
Americas,Caribbean,Antigua and Barbuda,Homicide count,1996,PAHO,3
Americas,Caribbean,Antigua and Barbuda,Homicide count,1997,PAHO,1
Americas,Caribbean,Antigua and Barbuda,Homicide count,2000,OAS,5
Americas,Caribbean,Antigua and Barbuda,Homicide count,2001,OAS,7
Americas,Caribbean,Antigua and Barbuda,Homicide count,2002,OAS,5
Americas,Caribbean,Antigua and Barbuda,Homicide count,2003,OAS,5
Americas,Caribbean,Antigua and Barbuda,Homicide count,2004,OAS,4
Americas,Caribbean,Antigua and Barbuda,Homicide count,2005,OAS,3
Americas,Caribbean,Antigua and Barbuda,Homicide count,2006,OAS,11
Americas,Caribbean,Antigua and Barbuda,Homicide count,2007,OAS,17
Americas,Caribbean,Antigua and Barbuda,Homicide count,2008,OAS,16
Americas,Caribbean,Antigua and Barbuda,Homicide count,2009,OAS,16
Americas,Caribbean,Antigua and Barbuda,Homicide count,2010,OAS,6
Americas,Caribbean,Antigua and Barbuda,Homicide count,2012,OAS,10
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1990,MD,1.6
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1991,MD,4.7
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1992,MD,3.1
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1993,MD,6.1
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1994,MD,7.4
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1995,MD,10.2
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1996,PAHO,4.3
Americas,Caribbean,Antigua and Barbuda,Homicide rate,1997,PAHO,1.4
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2000,OAS,6.6
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2001,OAS,9.1
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2002,OAS,6.4
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2003,OAS,6.3
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2004,OAS,5
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2005,OAS,3.7
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2006,OAS,13.3
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2007,OAS,20.2
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2008,OAS,18.7
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2009,OAS,18.4
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2010,OAS,6.8
Americas,Caribbean,Antigua and Barbuda,Homicide rate,2012,OAS,11.1
Americas,South America,Argentina,Homicide count,2001,MoS,3129
Americas,South America,Argentina,Homicide count,2002,MoS,3570
Americas,South America,Argentina,Homicide count,2003,MoS,2967
Americas,South America,Argentina,Homicide count,2004,MoS,2338
Americas,South America,Argentina,Homicide count,2005,MoS,2198
Americas,South America,Argentina,Homicide count,2006,MoS,2111
Americas,South America,Argentina,Homicide count,2007,MoS,2139
Americas,South America,Argentina,Homicide count,2008,MoS,2371
Americas,South America,Argentina,Homicide count,2009,MoS,2642
Americas,South America,Argentina,Homicide count,2010,MoS,2384
Americas,South America,Argentina,Homicide count,2011,MoS,2511
Americas,South America,Argentina,Homicide count,2012,MoS,2648
Americas,South America,Argentina,Homicide count,2013,MoS,3072
Americas,South America,Argentina,Homicide count,2014,MoS,3228
Americas,South America,Argentina,Homicide count,2015,MoS,2837
Americas,South America,Argentina,Homicide count,2016,MoS,2625
Americas,South America,Argentina,Homicide count,2017,MoS,2289
Americas,South America,Argentina,Homicide count,2018,MoS,2362
Americas,South America,Argentina,Homicide rate,2001,MoS,8.4
Americas,South America,Argentina,Homicide rate,2002,MoS,9.5
Americas,South America,Argentina,Homicide rate,2003,MoS,7.8
Americas,South America,Argentina,Homicide rate,2004,MoS,6.1
Americas,South America,Argentina,Homicide rate,2005,MoS,5.7
Americas,South America,Argentina,Homicide rate,2006,MoS,5.4
Americas,South America,Argentina,Homicide rate,2007,MoS,5.4
Americas,South America,Argentina,Homicide rate,2008,MoS,5.9
Americas,South America,Argentina,Homicide rate,2009,MoS,6.5
Americas,South America,Argentina,Homicide rate,2010,MoS,5.8
Americas,South America,Argentina,Homicide rate,2011,MoS,6.1
Americas,South America,Argentina,Homicide rate,2012,MoS,6.3
Americas,South America,Argentina,Homicide rate,2013,MoS,7.3
Americas,South America,Argentina,Homicide rate,2014,MoS,7.6
Americas,South America,Argentina,Homicide rate,2015,MoS,6.6
Americas,South America,Argentina,Homicide rate,2016,MoS,6
Americas,South America,Argentina,Homicide rate,2017,MoS,5.2
Americas,South America,Argentina,Homicide rate,2018,MoS,5.3
Asia,Western Asia,Armenia,Homicide count,1990,UNSDC,178
Asia,Western Asia,Armenia,Homicide count,1991,TransMonEE,186
Asia,Western Asia,Armenia,Homicide count,1992,TransMonEE,305
Asia,Western Asia,Armenia,Homicide count,1993,TransMonEE,268
Asia,Western Asia,Armenia,Homicide count,1994,TransMonEE,157
Asia,Western Asia,Armenia,Homicide count,1995,TransMonEE,116
Asia,Western Asia,Armenia,Homicide count,1996,TransMonEE,114
Asia,Western Asia,Armenia,Homicide count,1997,TransMonEE,100
Asia,Western Asia,Armenia,Homicide count,1998,TransMonEE,93
Asia,Western Asia,Armenia,Homicide count,1999,TransMonEE,90
Asia,Western Asia,Armenia,Homicide count,2000,TransMonEE,91
Asia,Western Asia,Armenia,Homicide count,2001,TransMonEE,88
Asia,Western Asia,Armenia,Homicide count,2002,TransMonEE,69
Asia,Western Asia,Armenia,Homicide count,2003,CTS,76
Africa,Eastern Africa,Mauritius,Homicide count,1990,UNSDC,20
Africa,Eastern Africa,Zambia,Homicide count,1990,UNSDC,550
Africa,Eastern Africa,Mauritius,Homicide rate,1990,UNSDC,1.9
Africa,Eastern Africa,Zambia,Homicide rate,1990,UNSDC,6.8
Africa,Eastern Africa,Zimbabwe,Homicide count,1990,WHO,587
Africa,Eastern Africa,Zimbabwe,Homicide rate,1990,WHO,5.6
Africa,Eastern Africa,Mauritius,Homicide count,1991,UNSDC,29
Africa,Eastern Africa,Zambia,Homicide count,1991,UNSDC,684
Africa,Eastern Africa,Mauritius,Homicide rate,1991,UNSDC,2.7
Africa,Eastern Africa,Zambia,Homicide rate,1991,UNSDC,8.3
Africa,Eastern Africa,Mauritius,Homicide count,1992,UNSDC,31
Africa,Eastern Africa,Zambia,Homicide count,1992,UNSDC,768
Africa,Eastern Africa,Mauritius,Homicide rate,1992,UNSDC,2.9
Africa,Eastern Africa,Zambia,Homicide rate,1992,UNSDC,9.1
Africa,Eastern Africa,Mauritius,Homicide count,1993,UNSDC,21
Africa,Eastern Africa,Zambia,Homicide count,1993,UNSDC,745
Africa,Eastern Africa,Mauritius,Homicide rate,1993,UNSDC,1.9
Africa,Eastern Africa,Zambia,Homicide rate,1993,UNSDC,8.6
Africa,Eastern Africa,Mauritius,Homicide count,1994,UNSDC,27
Africa,Eastern Africa,Zambia,Homicide count,1994,UNSDC,831
Africa,Eastern Africa,Mauritius,Homicide rate,1994,UNSDC,2.4
Africa,Eastern Africa,Zambia,Homicide rate,1994,UNSDC,9.4
Africa,Eastern Africa,Mauritius,Homicide count,1995,UNSDC,25
Africa,Eastern Africa,Uganda,Homicide count,1995,UNSDC,1710
Africa,Eastern Africa,United Republic of Tanzania,Homicide count,1995,UNSDC,2110
Africa,Eastern Africa,Mauritius,Homicide rate,1995,UNSDC,2.2
Africa,Eastern Africa,Uganda,Homicide rate,1995,UNSDC,8.4
Africa,Eastern Africa,United Republic of Tanzania,Homicide rate,1995,UNSDC,7.1
Africa,Eastern Africa,Mauritius,Homicide count,1996,UNSDC,34
Africa,Eastern Africa,Uganda,Homicide count,1996,UNSDC,1806
Africa,Eastern Africa,United Republic of Tanzania,Homicide count,1996,UNSDC,2283
Africa,Eastern Africa,Mauritius,Homicide rate,1996,UNSDC,3
Africa,Eastern Africa,Uganda,Homicide rate,1996,UNSDC,8.6
Africa,Eastern Africa,United Republic of Tanzania,Homicide rate,1996,UNSDC,7.5
Africa,Eastern Africa,Mauritius,Homicide count,1997,UNSDC,24
Africa,Eastern Africa,Uganda,Homicide count,1997,UNSDC,1919
Africa,Eastern Africa,United Republic of Tanzania,Homicide count,1997,UNSDC,2355
Africa,Eastern Africa,Mauritius,Homicide rate,1997,UNSDC,2.1
Africa,Eastern Africa,Uganda,Homicide rate,1997,UNSDC,8.9
Africa,Eastern Africa,United Republic of Tanzania,Homicide rate,1997,UNSDC,7.5
Africa,Eastern Africa,Mauritius,Homicide count,1998,UNSDC,31
Africa,Eastern Africa,Zambia,Homicide count,1998,UNSDC,872
Africa,Eastern Africa,Mauritius,Homicide rate,1998,UNSDC,2.7
Africa,Eastern Africa,Zambia,Homicide rate,1998,UNSDC,8.8
Africa,Eastern Africa,Mauritius,Homicide count,1999,UNSDC,23
Africa,Eastern Africa,Zambia,Homicide count,1999,UNSDC,1072
Africa,Eastern Africa,Mauritius,Homicide rate,1999,UNSDC,2
Africa,Eastern Africa,Zambia,Homicide rate,1999,UNSDC,10.6
Africa,Eastern Africa,Malawi,Homicide count,2000,NP,700
Africa,Eastern Africa,Malawi,Homicide rate,2000,NP,6.3
Africa,Eastern Africa,Mauritius,Homicide count,2000,UNSDC,26
Africa,Eastern Africa,Zambia,Homicide count,2000,UNSDC,797
Africa,Eastern Africa,Mauritius,Homicide rate,2000,UNSDC,2.2
Africa,Eastern Africa,Zambia,Homicide rate,2000,UNSDC,7.7
Africa,Eastern Africa,Malawi,Homicide count,2001,NP,900
Africa,Eastern Africa,Malawi,Homicide rate,2001,NP,7.9
Africa,Eastern Africa,Mozambique,Homicide count,2001,WHO,1100
Africa,Eastern Africa,Zimbabwe,Homicide count,2001,WHO,1529
Africa,Eastern Africa,Mozambique,Homicide rate,2001,WHO,6
Africa,Eastern Africa,Zimbabwe,Homicide rate,2001,WHO,12.8
Africa,Eastern Africa,Malawi,Homicide count,2002,NP,567
Africa,Eastern Africa,Malawi,Homicide rate,2002,NP,4.8
Africa,Eastern Africa,Mozambique,Homicide count,2002,WHO,1040
Africa,Eastern Africa,Zimbabwe,Homicide count,2002,WHO,1623
Africa,Eastern Africa,Mozambique,Homicide rate,2002,WHO,5.5
Africa,Eastern Africa,Zimbabwe,Homicide rate,2002,WHO,13.6
Africa,Eastern Africa,Mauritius,Homicide count,2003,CTS,39
Africa,Eastern Africa,Uganda,Homicide count,2003,CTS,2136
Africa,Eastern Africa,Mauritius,Homicide rate,2003,CTS,3.2
Africa,Eastern Africa,Uganda,Homicide rate,2003,CTS,8.2
Africa,Eastern Africa,United Republic of Tanzania,Homicide count,2003,Interpol,2778
Africa,Eastern Africa,United Republic of Tanzania,Homicide rate,2003,Interpol,7.6
Africa,Eastern Africa,Malawi,Homicide count,2003,NP,300
Africa,Eastern Africa,Malawi,Homicide rate,2003,NP,2.5
Africa,Eastern Africa,Mozambique,Homicide count,2003,WHO,1044
Africa,Eastern Africa,Zimbabwe,Homicide count,2003,WHO,1360
Africa,Eastern Africa,Mozambique,Homicide rate,2003,WHO,5.4
Africa,Eastern Africa,Zimbabwe,Homicide rate,2003,WHO,11.4
Africa,Eastern Africa,Kenya,Homicide count,2004,CTS,1200
Africa,Eastern Africa,Mauritius,Homicide count,2004,CTS,35
Africa,Eastern Africa,Uganda,Homicide count,2004,CTS,2049
Africa,Eastern Africa,Kenya,Homicide rate,2004,CTS,3.4
Africa,Eastern Africa,Mauritius,Homicide rate,2004,CTS,2.9
Africa,Eastern Africa,Uganda,Homicide rate,2004,CTS,7.6
Africa,Eastern Africa,Seychelles,Homicide count,2004,Interpol,10
Africa,Eastern Africa,United Republic of Tanzania,Homicide count,2004,Interpol,2926
Africa,Eastern Africa,Seychelles,Homicide rate,2004,Interpol,11.4
Africa,Eastern Africa,United Republic of Tanzania,Homicide rate,2004,Interpol,7.8
Africa,Eastern Africa,Malawi,Homicide count,2004,NP,411
Africa,Eastern Africa,Réunion,Homicide count,2004,NP,23
Africa,Eastern Africa,Malawi,Homicide rate,2004,NP,3.3
Africa,Eastern Africa,Réunion,Homicide rate,2004,NP,2.9
Africa,Eastern Africa,Mozambique,Homicide count,2004,WHO,1130
Africa,Eastern Africa,Zimbabwe,Homicide count,2004,WHO,1356
Africa,Eastern Africa,Mozambique,Homicide rate,2004,WHO,5.7
Africa,Eastern Africa,Zimbabwe,Homicide rate,2004,WHO,11.3
Africa,Eastern Africa,Kenya,Homicide count,2005,CTS,1084
Africa,Eastern Africa,Mauritius,Homicide count,2005,CTS,37
Africa,Eastern Africa,Uganda,Homicide count,2005,CTS,2492
Africa,Eastern Africa,Kenya,Homicide rate,2005,CTS,3
Africa,Eastern Africa,Mauritius,Homicide rate,2005,CTS,3
Africa,Eastern Africa,Uganda,Homicide rate,2005,CTS,9
Africa,Eastern Africa,Malawi,Homicide count,2005,NP,200
Africa,Eastern Africa,Réunion,Homicide count,2005,NP,25
Africa,Eastern Africa,Malawi,Homicide rate,2005,NP,1.6
Africa,Eastern Africa,Réunion,Homicide rate,2005,NP,3.2
Africa,Eastern Africa,Mozambique,Homicide count,2005,WHO,1089
Africa,Eastern Africa,Zimbabwe,Homicide count,2005,WHO,1350
Africa,Eastern Africa,Mozambique,Homicide rate,2005,WHO,5.3
Africa,Eastern Africa,Zimbabwe,Homicide rate,2005,WHO,11.2
Africa,Eastern Africa,Kenya,Homicide count,2006,CTS,1106
Africa,Eastern Africa,Mauritius,Homicide count,2006,CTS,50
Africa,Eastern Africa,Uganda,Homicide count,2006,CTS,2696
Africa,Eastern Africa,Kenya,Homicide rate,2006,CTS,2.9
Africa,Eastern Africa,Mauritius,Homicide rate,2006,CTS,4.1
Africa,Eastern Africa,Uganda,Homicide rate,2006,CTS,9.4
Africa,Eastern Africa,Malawi,Homicide count,2006,NP,821
Africa,Eastern Africa,Réunion,Homicide count,2006,NP,19
Africa,Eastern Africa,Malawi,Homicide rate,2006,NP,6.3
Africa,Eastern Africa,Réunion,Homicide rate,2006,NP,2.4
Africa,Eastern Africa,Rwanda,Homicide count,2006,NSO,319
Africa,Eastern Africa,Seychelles,Homicide count,2006,NSO,9
Africa,Eastern Africa,Rwanda,Homicide rate,2006,NSO,3.5
Africa,Eastern Africa,Seychelles,Homicide rate,2006,NSO,10.1
Africa,Eastern Africa,Mozambique,Homicide count,2006,WHO,894
Africa,Eastern Africa,Zimbabwe,Homicide count,2006,WHO,1072
Africa,Eastern Africa,Mozambique,Homicide rate,2006,WHO,4.2
Africa,Eastern Africa,Zimbabwe,Homicide rate,2006,WHO,8.8
Africa,Eastern Africa,Kenya,Homicide count,2007,CTS,1102
Africa,Eastern Africa,Mauritius,Homicide count,2007,CTS,45
Africa,Eastern Africa,Uganda,Homicide count,2007,CTS,2645
Africa,Eastern Africa,Kenya,Homicide rate,2007,CTS,2.8
Africa,Eastern Africa,Mauritius,Homicide rate,2007,CTS,3.6
Africa,Eastern Africa,Uganda,Homicide rate,2007,CTS,9
Africa,Eastern Africa,Malawi,Homicide count,2007,NP,690
Africa,Eastern Africa,Mayotte,Homicide count,2007,NP,27
Africa,Eastern Africa,Réunion,Homicide count,2007,NP,24
Africa,Eastern Africa,Malawi,Homicide rate,2007,NP,5.2
Africa,Eastern Africa,Mayotte,Homicide rate,2007,NP,14.2
Africa,Eastern Africa,Réunion,Homicide rate,2007,NP,3
Africa,Eastern Africa,Rwanda,Homicide count,2007,NSO,268
Africa,Eastern Africa,Seychelles,Homicide count,2007,NSO,8
Africa,Eastern Africa,Rwanda,Homicide rate,2007,NSO,2.9
Africa,Eastern Africa,Seychelles,Homicide rate,2007,NSO,8.9
Africa,Eastern Africa,Mozambique,Homicide count,2007,WHO,849
Africa,Eastern Africa,Mozambique,Homicide rate,2007,WHO,3.9
Africa,Eastern Africa,Burundi,Homicide count,2008,CTS,341
Africa,Eastern Africa,Kenya,Homicide count,2008,CTS,1215
Africa,Eastern Africa,Mauritius,Homicide count,2008,CTS,48
Africa,Eastern Africa,Uganda,Homicide count,2008,CTS,2793
Africa,Eastern Africa,Burundi,Homicide rate,2008,CTS,4.2
Africa,Eastern Africa,Kenya,Homicide rate,2008,CTS,3.1
Africa,Eastern Africa,Mauritius,Homicide rate,2008,CTS,3.9
Africa,Eastern Africa,Uganda,Homicide rate,2008,CTS,9.2
Africa,Eastern Africa,Malawi,Homicide count,2008,NP,780
Africa,Eastern Africa,Mayotte,Homicide count,2008,NP,5
Africa,Eastern Africa,Réunion,Homicide count,2008,NP,18
