download,Country,Icons,Population Type,Question Number,Region,Sub-region,Year,Count,Number of Records,Rate,Refpopulation
,Austria,,Total population,3.5.2,Europe,Western Europe,2014,148263,1,1720.945700073,8615.205
,Austria,,Total population,3.5.2,Europe,Western Europe,2015,140254,1,1616.077676445,8678.667
,Austria,,Total population,3.5.2,Europe,Western Europe,2016,143531,1,1640.859482908,8747.306
,Austria,,Total population,3.5.2,Europe,Western Europe,2017,125376,1,1421.512393222,8819.902
,Austria,,Total population,3.5.2,Europe,Western Europe,2018,112613,1,1266.540874462,8891.383
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2003,1820,1,21.766603882,8361.433
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2004,1776,1,21.020393332,8448.938
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2005,2151,1,25.191453878,8538.61
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2006,2139,1,24.785192105,8630.153
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2007,1903,1,21.812795778,8724.237
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2008,3347,1,37.939806179,8821.869
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2009,3640,1,40.787133407,8924.383
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2010,3868,1,42.823304602,9032.465
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2011,5019,1,54.874786757,9146.277
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2012,4236,1,45.722012753,9264.684
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2013,5144,1,54.808141140,9385.467
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2014,5861,1,61.658287059,9505.616
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2016,2407,1,24.722574607,9736.041
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2017,2854,1,28.988404232,9845.316
,Azerbaijan,,Total population,3.5.2,Asia,Western Asia,2018,2438,1,24.503652783,9949.537
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2005,1450,1,446.362606511,324.848
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2006,1281,1,386.971652287,331.032
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2007,1341,1,397.466410976,337.387
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2008,1540,1,448.091247672,343.68
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2009,1572,1,449.656750572,349.6
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2010,1969,1,554.747898213,354.936
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2011,1969,1,547.578723132,359.583
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2012,1985,1,545.958122124,363.581
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2017,1045,1,273.740075285,381.749
,Bahamas,,Total population,3.5.2,Americas,Caribbean,2018,831,1,215.488739352,385.635
,Bahrain,,Total population,3.5.2,Asia,Western Asia,2005,9659,1,1086.309841794,889.157
,Bahrain,,Total population,3.5.2,Asia,Western Asia,2006,8360,1,872.266212309,958.423
,Bahrain,,Total population,3.5.2,Asia,Western Asia,2007,7256,1,700.437483831,1035.924
,Bahrain,,Total population,3.5.2,Asia,Western Asia,2008,7598,1,681.652005796,1114.645
,Bangladesh,,Total population,3.5.2,Asia,Southern Asia,2005,12540,1,9.019279249,139035.5
,Bangladesh,,Total population,3.5.2,Asia,Southern Asia,2006,12989,1,9.217207915,140921.2
,Barbados,,Total population,3.5.2,Americas,Caribbean,2004,1268,1,460.616892434,275.283
,Barbados,,Total population,3.5.2,Americas,Caribbean,2005,1130,1,408.946149392,276.32
,Barbados,,Total population,3.5.2,Americas,Caribbean,2006,1257,1,453.013785026,277.475
,Barbados,,Total population,3.5.2,Americas,Caribbean,2007,1958,1,702.545021367,278.701
,Barbados,,Total population,3.5.2,Americas,Caribbean,2008,2159,1,771.220163889,279.946
,Barbados,,Total population,3.5.2,Americas,Caribbean,2009,2073,1,737.441614759,281.107
,Barbados,,Total population,3.5.2,Americas,Caribbean,2010,2067,1,732.638384297,282.131
,Barbados,,Total population,3.5.2,Americas,Caribbean,2011,2338,1,826.186361918,282.987
,Barbados,,Total population,3.5.2,Americas,Caribbean,2012,2376,1,837.510310260,283.698
,Barbados,,Total population,3.5.2,Americas,Caribbean,2013,1855,1,652.493545414,284.294
,Barbados,,Total population,3.5.2,Americas,Caribbean,2014,1958,1,687.439655929,284.825
,Barbados,,Total population,3.5.2,Americas,Caribbean,2015,1694,1,593.704766811,285.327
,Barbados,,Total population,3.5.2,Americas,Caribbean,2016,1701,1,595.175613545,285.798
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2003,74632,1,771.052671001,9679.235
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2004,81438,1,846.845692690,9616.628
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2005,103196,1,1079.220918706,9562.083
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2006,104161,1,1094.486388612,9516.884
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2007,103082,1,1087.303916222,9480.514
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2008,87387,1,924.450866960,9452.855
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2009,82340,1,872.878322098,9433.159
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2010,73590,1,781.162425737,9420.576
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2011,73598,1,781.683801160,9415.316
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2012,56378,1,598.680371603,9417.045
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2013,46356,1,491.919033922,9423.502
,Belarus,,Total population,3.5.2,Europe,Eastern Europe,2014,40528,1,429.697928548,9431.742
,Belgium,,Total population,3.5.2,Europe,Western Europe,2003,225000,1,2159.510050360,10419.03
,Belgium,,Total population,3.5.2,Europe,Western Europe,2004,217948,1,2079.632675962,10480.12
,Belgium,,Total population,3.5.2,Europe,Western Europe,2005,217373,1,2061.015142853,10546.89
,Belgium,,Total population,3.5.2,Europe,Western Europe,2006,219931,1,2071.014776618,10619.48
,Belgium,,Total population,3.5.2,Europe,Western Europe,2007,217051,1,2028.972907891,10697.58
,Belgium,,Total population,3.5.2,Europe,Western Europe,2008,222379,1,2063.122288649,10778.76
,Belgium,,Total population,3.5.2,Europe,Western Europe,2009,227721,1,2096.891968917,10859.93
,Belgium,,Total population,3.5.2,Europe,Western Europe,2010,228355,1,2087.580470877,10938.74
,Belgium,,Total population,3.5.2,Europe,Western Europe,2011,242399,1,2200.854196440,11013.86
,Belgium,,Total population,3.5.2,Europe,Western Europe,2012,237921,1,2146.265115671,11085.35
,Belgium,,Total population,3.5.2,Europe,Western Europe,2013,224109,1,2009.223588647,11154.01
,Belgium,,Total population,3.5.2,Europe,Western Europe,2014,208443,1,1857.577110531,11221.23
,Belgium,,Total population,3.5.2,Europe,Western Europe,2015,246853,1,2186.875715920,11287.93
,Belgium,,Total population,3.5.2,Europe,Western Europe,2016,232387,1,2046.667330139,11354.41
,Belgium,,Total population,3.5.2,Europe,Western Europe,2017,223088,1,1953.527879332,11419.75
,Belgium,,Total population,3.5.2,Europe,Western Europe,2018,218243,1,1900.710492258,11482.18
,Belize,,Total population,3.5.2,Americas,Central America,2005,1678,1,591.265618503,283.798
,Belize,,Total population,3.5.2,Americas,Central America,2006,1857,1,637.403977511,291.338
,Belize,,Total population,3.5.2,Americas,Central America,2009,1179,1,374.696095724,314.655
,Belize,,Total population,3.5.2,Americas,Central America,2010,836,1,259.252942180,322.465
,Belize,,Total population,3.5.2,Americas,Central America,2011,932,1,282.222410640,330.236
,Belize,,Total population,3.5.2,Americas,Central America,2012,822,1,243.194546762,338.001
,Belize,,Total population,3.5.2,Americas,Central America,2013,933,1,269.881720648,345.707
,Belize,,Total population,3.5.2,Americas,Central America,2014,826,1,233.751973874,353.366
,Belize,,Total population,3.5.2,Americas,Central America,2015,789,1,218.604367654,360.926
,Belize,,Total population,3.5.2,Americas,Central America,2016,752,1,204.126504144,368.399
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2009,348,1,51.302539033,678.329
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2010,489,1,71.334583998,685.502
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2011,494,1,71.253733970,693.297
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2012,494,1,70.412296781,701.582
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2013,577,1,81.240716101,710.235
,Bhutan,,Total population,3.5.2,Asia,Southern Asia,2014,532,1,73.986201295,719.053
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2005,3800,1,41.159836535,9232.301
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2006,3829,1,40.753773449,9395.449
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2007,4292,1,44.902734108,9558.438
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2008,4825,1,49.632477930,9721.457
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2009,5363,1,54.255072692,9884.79
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2010,5050,1,50.255757021,10048.6
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2011,4520,1,44.257535776,10212.95
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2012,5200,1,50.107538486,10377.68
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2015,4711,1,43.340542957,10869.73
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2016,4867,1,44.117833685,11031.82
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2017,4514,1,40.329317377,11192.85
,Bolivia (Plurinational State of),,Total population,3.5.2,Americas,South America,2018,4963,1,43.714778467,11353.14
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2005,18417,1,489.120215694,3765.332
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2006,18339,1,487.037043922,3765.422
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2007,7071,1,187.919020748,3762.791
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2008,6455,1,171.937965954,3754.261
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2009,5002,1,133.888480692,3735.945
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2010,11362,1,306.627107218,3705.478
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2011,6737,1,184.012063893,3661.173
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2012,6675,1,185.160938837,3604.972
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2013,6477,1,182.831921657,3542.598
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2014,5931,1,170.327956702,3482.106
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2015,4874,1,142.125561548,3429.362
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2016,4491,1,132.624075566,3386.263
,Bosnia and Herzegovina,,Total population,3.5.2,Europe,Southern Europe,2018,3812,1,114.683556719,3323.929
,Botswana,,Total population,3.5.2,Africa,Southern Africa,2009,21343,1,1092.554626452,1953.495
,Botswana,,Total population,3.5.2,Africa,Southern Africa,2010,29716,1,1495.441108829,1987.106
,Botswana,,Total population,3.5.2,Africa,Southern Africa,2011,25291,1,1254.883631387,2015.406
,Botswana,,Total population,3.5.2,Africa,Southern Africa,2014,29656,1,1419.885579898,2088.619
,Brazil,,Total population,3.5.2,Americas,South America,2006,2058942,1,1094.207604505,188167.4
,Brazil,,Total population,3.5.2,Americas,South America,2007,2021060,1,1062.986245230,190130.4
,Brazil,,Total population,3.5.2,Americas,South America,2008,1866732,1,972.102333797,192030.4
,Brazil,,Total population,3.5.2,Americas,South America,2009,1791139,1,923.808001073,193886.5
,Brazil,,Total population,3.5.2,Americas,South America,2010,1382710,1,706.496635901,195713.6
,Brazil,,Total population,3.5.2,Americas,South America,2011,1240590,1,628.100721719,197514.5
,Brazil,,Total population,3.5.2,Americas,South America,2012,1425070,1,715.083198980,199287.3
,Brazil,,Total population,3.5.2,Americas,South America,2013,1784745,1,887.774273152,201035.9
,Brazil,,Total population,3.5.2,Americas,South America,2017,2304980,1,1109.049634852,207833.8
,Brazil,,Total population,3.5.2,Americas,South America,2018,2204299,1,1052.325567518,209469.3
,Brunei Darussalam,,Total population,3.5.2,Asia,South-Eastern Asia,2003,898,1,254.178519368,353.295
,Brunei Darussalam,,Total population,3.5.2,Asia,South-Eastern Asia,2004,1052,1,292.682383970,359.434
,Brunei Darussalam,,Total population,3.5.2,Asia,South-Eastern Asia,2005,1202,1,329.214049388,365.112
,Brunei Darussalam,,Total population,3.5.2,Asia,South-Eastern Asia,2006,1136,1,306.809772539,370.262
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2003,47148,1,604.128028809,7804.306
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2004,47010,1,607.001238277,7744.63
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2005,43119,1,560.936671487,7686.964
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2006,44201,1,579.227940695,7631.02
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2007,42100,1,555.652710457,7576.675
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2008,37933,1,504.154392747,7524.084
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2009,39808,1,532.654740899,7473.509
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2010,50479,1,679.850844665,7425.011
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2011,47323,1,641.350208683,7378.652
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2012,44462,1,606.244308193,7334.007
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2013,45256,1,620.787776066,7290.092
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2014,41246,1,569.252053094,7245.648
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2015,38315,1,532.172069015,7199.739
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2016,32727,1,457.595608917,7151.948
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2017,40947,1,576.519207733,7102.452
,Bulgaria,,Total population,3.5.2,Europe,Eastern Europe,2018,36922,1,523.596738901,7051.61
,Burundi,,Total population,3.5.2,Africa,Eastern Africa,2012,868,1,9.387851514,9245.992
,Burundi,,Total population,3.5.2,Africa,Eastern Africa,2013,679,1,7.117175117,9540.302
,Burundi,,Total population,3.5.2,Africa,Eastern Africa,2014,807,1,8.197636379,9844.301
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2010,3751,1,761.401742435,492.644
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2011,3924,1,786.596586604,498.858
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2012,3767,1,745.584780333,505.241
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2013,3796,1,741.782936648,511.74
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2014,3996,1,771.017758878,518.276
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2015,4122,1,785.531882456,524.74
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2016,4455,1,838.761908348,531.14
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2017,4388,1,816.373611858,537.499
,Cabo Verde,,Total population,3.5.2,Africa,Western Africa,2018,3429,1,630.604453403,543.764
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2003,11839,1,70.466588933,16800.87
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2004,12290,1,71.207903904,17259.32
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2005,12013,1,67.742188333,17733.41
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2006,13652,1,74.913519114,18223.68
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2007,9862,1,52.652709943,18730.28
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2009,12865,1,65.007842376,19789.92
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2010,16419,1,80.717793016,20341.24
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2011,17759,1,84.945320546,20906.39
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2012,15752,1,73.315345816,21485.27
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2013,25027,1,113.360782342,22077.3
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2014,25270,1,111.410665356,22681.85
,Cameroon,,Total population,3.5.2,Africa,Middle Africa,2015,16290,1,69.919024413,23298.38
,Canada,,Total population,3.5.2,Americas,Northern America,2003,720021,1,2286.648426943,31488.05
,Canada,,Total population,3.5.2,Americas,Northern America,2004,690967,1,2171.794305227,31815.49
,Canada,,Total population,3.5.2,Americas,Northern America,2005,655885,1,2039.170123656,32164.31
,Canada,,Total population,3.5.2,Americas,Northern America,2006,634912,1,1951.354443051,32536.99
,Canada,,Total population,3.5.2,Americas,Northern America,2007,597504,1,1814.423522788,32930.79
,Canada,,Total population,3.5.2,Americas,Northern America,2008,569714,1,1708.921207380,33337.64
,Canada,,Total population,3.5.2,Americas,Northern America,2009,574950,1,1703.752938489,33746.09
,Canada,,Total population,3.5.2,Americas,Northern America,2010,544231,1,1593.762015862,34147.57
,Canada,,Total population,3.5.2,Americas,Northern America,2011,515591,1,1492.772261977,34539.16
,Canada,,Total population,3.5.2,Americas,Northern America,2012,514920,1,1474.484730699,34922.03
,Canada,,Total population,3.5.2,Americas,Northern America,2013,486562,1,1378.497722440,35296.54
,Canada,,Total population,3.5.2,Americas,Northern America,2014,487161,1,1365.961069236,35664.34
,Canada,,Total population,3.5.2,Americas,Northern America,2015,502620,1,1395.133105558,36026.67
,Canada,,Total population,3.5.2,Americas,Northern America,2016,512504,1,1408.638224399,36382.94
,Canada,,Total population,3.5.2,Americas,Northern America,2017,521812,1,1420.588918300,36732.09
,Chile,,Total population,3.5.2,Americas,South America,2005,155270,1,959.480828613,16182.71
,Chile,,Total population,3.5.2,Americas,South America,2006,153713,1,939.881414974,16354.51
,Chile,,Total population,3.5.2,Americas,South America,2007,167893,1,1015.674341508,16530.2
,Chile,,Total population,3.5.2,Americas,South America,2008,175648,1,1051.264464403,16708.26
,Chile,,Total population,3.5.2,Americas,South America,2009,191103,1,1131.712441772,16886.18
,Chile,,Total population,3.5.2,Americas,South America,2010,186982,1,1095.863274673,17062.53
,Chile,,Total population,3.5.2,Americas,South America,2011,208131,1,1207.706117940,17233.58
,Chile,,Total population,3.5.2,Americas,South America,2012,191095,1,1098.224404553,17400.36
,Chile,,Total population,3.5.2,Americas,South America,2013,189844,1,1080.408001361,17571.51
,Chile,,Total population,3.5.2,Americas,South America,2014,193914,1,1091.921434633,17758.97
,Chile,,Total population,3.5.2,Americas,South America,2015,185542,1,1032.546512508,17969.36
,Chile,,Total population,3.5.2,Americas,South America,2016,173528,1,952.975632473,18209.07
,Chile,,Total population,3.5.2,Americas,South America,2017,171247,1,927.140880239,18470.44
,Chile,,Total population,3.5.2,Americas,South America,2018,172232,1,919.592272375,18729.17
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2003,40887,1,608.013428729,6724.687
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2004,37500,1,556.003406003,6744.563
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2005,35213,1,520.165286497,6769.579
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2006,37089,1,545.259444791,6802.083
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2007,36762,1,537.454804571,6840.017
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2008,35230,1,511.925480622,6881.861
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2009,34554,1,499.000525948,6924.642
